GSE,CUI,SAB,CODE,STR
GSE46052,C0024266,MSH,D008216,Lymphocytic Choriomeningitis
GSE46052,C0153014,ICD9CM,049.0,Lymphocytic choriomeningitis
GSE4607,C0036983,ICD9CM,785.52,Septic shock
GSE4610,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE4610,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE46164,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE46164,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE46224,C0018801,ICD9CM,428,Heart failure
GSE46224,C0018801,ICD9CM,428.9,Heart failure NOS
GSE46224,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE46224,C0018801,MSH,D006333,Heart Failure
GSE4624-GPL3637,C0018133,ICD9CM,279.5,Graft-versus-host disease
GSE4624-GPL3637,C0018133,ICD9CM,279.50,Graft-versus-host disease, unspecified
GSE4624-GPL3637,C0018133,ICD9CM,279.50,Graft-versus-host NOS
GSE4624-GPL3637,C0018133,MSH,D006086,Graft vs Host Disease
GSE46307,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE46356,C0036118,MSH,D012481,Salmonella Infections, Animal
GSE464-GPL85,C0026975,MSH,D009187,Myelitis
GSE464-GPL86,C0026975,MSH,D009187,Myelitis
GSE464-GPL87,C0026975,MSH,D009187,Myelitis
GSE46468,C0021400,ICD9CM,487,Influenza
GSE46468,C0021400,MSH,D007251,Influenza, Human
GSE46468,C0029342,MSH,D009976,Orthomyxoviridae Infections
GSE4648-GPL81,C0001314,MSH,D000208,Acute Disease
GSE4648-GPL81,C0027051,MSH,D009203,Myocardial Infarction
GSE4648-GPL82,C0001314,MSH,D000208,Acute Disease
GSE4648-GPL82,C0027051,MSH,D009203,Myocardial Infarction
GSE465-GPL246,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL246,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL246,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL246,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL8300,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL8300,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL8300,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL8300,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL91,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL91,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL91,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL91,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL92,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL92,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL92,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL92,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL93,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL93,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL93,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL93,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL94,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL94,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL94,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL94,C0026850,MSH,D009136,Muscular Dystrophies
GSE465-GPL95,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE465-GPL95,C0026850,ICD9CM,359.1,Hered prog musc dystrphy
GSE465-GPL95,C0026850,ICD9CM,359.1,Hereditary progressive muscular dystrophy
GSE465-GPL95,C0026850,MSH,D009136,Muscular Dystrophies
GSE4653,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE46534,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE466,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE466,C0026851,MSH,D009137,Muscular Dystrophy, Animal
GSE4660,C0032080,MSH,D010935,Plant Diseases
GSE46609,C0026764,ICD9CM,203.0,Multiple myeloma
GSE46632-GPL6884,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE46650,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE46650,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE46650,C0029408,ICD9CM,715.9,Osteoarthrosis, unspecified whether generalized or localized
GSE46650,C0029408,MSH,D010003,Osteoarthritis
GSE46660,C0006434,ICD9CM,940-949.99,BURNS
GSE46660,C0006434,ICD9CM,949.0,Burn NOS
GSE46660,C0006434,ICD9CM,949.0,Burn of unspecified site, unspecified degree
GSE46667,C0019163,MSH,D006509,Hepatitis B
GSE46757,C0032080,MSH,D010935,Plant Diseases
GSE46758,C0032080,MSH,D010935,Plant Diseases
GSE46761,C0021390,MSH,D015212,Inflammatory Bowel Diseases
GSE46802-GPL6480,C0007099,ICD9CM,230-234.99,CARCINOMA IN SITU
GSE46802-GPL6480,C0007099,ICD9CM,234.9,Ca in situ NOS
GSE46802-GPL6480,C0007099,ICD9CM,234.9,Carcinoma in situ, site unspecified
GSE46802-GPL8490,C0007099,ICD9CM,230-234.99,CARCINOMA IN SITU
GSE46802-GPL8490,C0007099,ICD9CM,234.9,Ca in situ NOS
GSE46802-GPL8490,C0007099,ICD9CM,234.9,Carcinoma in situ, site unspecified
GSE4688,C0023416,ICD9CM,99.72,Therapeutc leukopheresis
GSE4688,C0023416,ICD9CM,99.72,Therapeutic leukopheresis
GSE4688,C0026764,ICD9CM,203.0,Multiple myeloma
GSE46943,C0023860,ICD9CM,027.0,Listeriosis
GSE46943,C0023860,MSH,D008088,Listeriosis
GSE47022,C0007222,ICD9CM,429.2,Ascvd
GSE47022,C0007222,ICD9CM,429.2,Cardiovascular disease, unspecified
GSE47022,C0007222,MSH,D002318,Cardiovascular Diseases
GSE47022,C0028754,ICD9CM,278.00,Obesity NOS
GSE47022,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE47022,C0028754,MSH,D009765,Obesity
GSE47024,C0026769,ICD9CM,340,Multiple sclerosis
GSE47024,C0026769,MSH,D009103,Multiple Sclerosis
GSE47024,C0027059,ICD9CM,429.0,Myocarditis NOS
GSE47024,C0027059,ICD9CM,429.0,Myocarditis, unspecified
GSE47024,C0027059,MSH,D009205,Myocarditis
GSE47036,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE47036,C0002395,MSH,D000544,Alzheimer Disease
GSE4704-GPL549,C0010068,MSH,D003327,Coronary Disease
GSE47080-GPL16384,C0005694,ICD9CM,596.0,Bladder neck obstruction
GSE47080-GPL16384,C0005694,MSH,D001748,Urinary Bladder Neck Obstruction
GSE47080-GPL6247,C0005694,ICD9CM,596.0,Bladder neck obstruction
GSE47080-GPL6247,C0005694,MSH,D001748,Urinary Bladder Neck Obstruction
GSE471,C0026848,ICD9CM,359.9,Myopathy NOS
GSE471,C0026848,ICD9CM,359.9,Myopathy, unspecified
GSE471,C0026848,MSH,D009135,Muscular Diseases
GSE4710,C0013516,ICD9CM,88.72,Diagnostic ultrasound of heart
GSE4710,C0013516,ICD9CM,88.72,Dx ultrasound-heart
GSE4712,C0004623,MSH,D001424,Bacterial Infections
GSE47141,C0039003,ICD9CM,E002.0,Activities involving swimming
GSE47141,C0039003,ICD9CM,E002.0,Swimming
GSE4715,C0022373,MSH,D007579,Jejunal Diseases
GSE4731,C0015695,MSH,D005234,Fatty Liver
GSE4732,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE47395,C0035372,MSH,D015518,Rett Syndrome
GSE474,C0028756,ICD9CM,278.01,Morbid obesity
GSE474,C0028756,MSH,D009767,Obesity, Morbid
GSE474,C0043096,ICD9CM,783.21,Abnormal loss of weight
GSE474,C0043096,ICD9CM,783.21,Loss of weight
GSE47440-GPL10740,C0026769,ICD9CM,340,Multiple sclerosis
GSE47440-GPL10740,C0026769,MSH,D009103,Multiple Sclerosis
GSE47440-GPL10740,C0027059,ICD9CM,429.0,Myocarditis NOS
GSE47440-GPL10740,C0027059,ICD9CM,429.0,Myocarditis, unspecified
GSE47440-GPL10740,C0027059,MSH,D009205,Myocarditis
GSE47440-GPL14613,C0026769,ICD9CM,340,Multiple sclerosis
GSE47440-GPL14613,C0026769,MSH,D009103,Multiple Sclerosis
GSE47440-GPL14613,C0027059,ICD9CM,429.0,Myocarditis NOS
GSE47440-GPL14613,C0027059,ICD9CM,429.0,Myocarditis, unspecified
GSE47440-GPL14613,C0027059,MSH,D009205,Myocarditis
GSE47440-GPL6246,C0026769,ICD9CM,340,Multiple sclerosis
GSE47440-GPL6246,C0026769,MSH,D009103,Multiple Sclerosis
GSE47440-GPL6246,C0027059,ICD9CM,429.0,Myocarditis NOS
GSE47440-GPL6246,C0027059,ICD9CM,429.0,Myocarditis, unspecified
GSE47440-GPL6246,C0027059,MSH,D009205,Myocarditis
GSE47480-GPL13112,C0030193,ICD9CM,338-338.99,PAIN
GSE47480-GPL17216,C0030193,ICD9CM,338-338.99,PAIN
GSE4749,C0018021,ICD9CM,240.9,Goiter NOS
GSE4749,C0018021,ICD9CM,240.9,Goiter, unspecified
GSE4749,C0018021,MSH,D006042,Goiter
GSE4749,C0039082,MSH,D013577,Syndrome
GSE47495,C0018801,ICD9CM,428,Heart failure
GSE47495,C0018801,ICD9CM,428.9,Heart failure NOS
GSE47495,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE47495,C0018801,MSH,D006333,Heart Failure
GSE47495,C0027051,MSH,D009203,Myocardial Infarction
GSE47496,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE47496,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE47496,C0024299,ICD9CM,200.1,Lymphosarcoma
GSE47506-GPL10123,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE47507,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE47545,C0032080,MSH,D010935,Plant Diseases
GSE47560,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE47560,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE47594,C0023890,MSH,D008103,Liver Cirrhosis
GSE4764,C0043407,MSH,D015009,Yersinia Infections
GSE47673,C0023860,ICD9CM,027.0,Listeriosis
GSE47673,C0023860,MSH,D008088,Listeriosis
GSE47673,C0041296,ICD9CM,010-018.99,TUBERCULOSIS
GSE47673,C0041296,MSH,D014376,Tuberculosis
GSE47706-GPL6193,C0038220,MSH,D013226,Status Epilepticus
GSE4775,C0025362,ICD9CM,317-319.99,INTELLECTUAL DISABILITIES
GSE47758,C0950123,MSH,D030342,Genetic Diseases, Inborn
GSE47794,C0027126,MSH,D009223,Myotonic Dystrophy
GSE47794,C1623258,ICD9CM,89.52,Electrocardiogram
GSE4784,C0024299,ICD9CM,200.1,Lymphosarcoma
GSE4785,C0080151,MSH,D016097,Simian Acquired Immunodeficiency Syndrome
GSE47851,C0014347,MSH,D004756,Enterobacteriaceae Infections
GSE4786,C0033074,ICD9CM,388.01,Presbyacusis
GSE4790,C0006625,ICD9CM,799.4,Cachexia
GSE4790,C0016154,MSH,D005393,Fish Diseases
GSE47927,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE47928,C0004238,ICD9CM,427.31,Atrial fibrillation
GSE47928,C1623258,ICD9CM,89.52,Electrocardiogram
GSE47930,C0006118,ICD9CM,239.6,Brain neoplasm NOS
GSE47930,C0006118,ICD9CM,239.6,Neoplasm of unspecified nature of brain
GSE47944,C0033860,MSH,D011565,Psoriasis
GSE47957,C0206750,MSH,D018352,Coronavirus Infections
GSE4797,C0004509,ICD9CM,606.0,Azoospermia
GSE4797,C0004509,MSH,D053713,Azoospermia
GSE47989,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE47996,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE48051,C0013080,ICD9CM,758.0,Down's syndrome
GSE48051,C0013080,MSH,D004314,Down Syndrome
GSE48051,C0041107,MSH,D014314,Trisomy
GSE48112-GPL13112,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48112-GPL13112,C0018801,ICD9CM,428,Heart failure
GSE48112-GPL13112,C0018801,ICD9CM,428.9,Heart failure NOS
GSE48112-GPL13112,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE48112-GPL13112,C0018801,MSH,D006333,Heart Failure
GSE48112-GPL1355,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48112-GPL1355,C0018801,ICD9CM,428,Heart failure
GSE48112-GPL1355,C0018801,ICD9CM,428.9,Heart failure NOS
GSE48112-GPL1355,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE48112-GPL1355,C0018801,MSH,D006333,Heart Failure
GSE48112-GPL6246,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48112-GPL6246,C0018801,ICD9CM,428,Heart failure
GSE48112-GPL6246,C0018801,ICD9CM,428.9,Heart failure NOS
GSE48112-GPL6246,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE48112-GPL6246,C0018801,MSH,D006333,Heart Failure
GSE48112-GPL9250,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48112-GPL9250,C0018801,ICD9CM,428,Heart failure
GSE48112-GPL9250,C0018801,ICD9CM,428.9,Heart failure NOS
GSE48112-GPL9250,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE48112-GPL9250,C0018801,MSH,D006333,Heart Failure
GSE4814,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48173,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE48173,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE48338,C0001314,MSH,D000208,Acute Disease
GSE48363,C0006625,ICD9CM,799.4,Cachexia
GSE48363,C0026846,MSH,D009133,Muscular Atrophy
GSE48459,C0036262,ICD9CM,133.0,Scabies
GSE48459,C0036262,MSH,D012532,Scabies
GSE4847,C0032080,MSH,D010935,Plant Diseases
GSE48471,C0032080,MSH,D010935,Plant Diseases
GSE48514-GPL11002,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE48514-GPL11002,C0277550,MSH,D019353,Endemic Diseases
GSE48514-GPL13112,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE48514-GPL13112,C0277550,MSH,D019353,Endemic Diseases
GSE4852,C0162820,MSH,D017449,Dermatitis, Allergic Contact
GSE48539,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE48539,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE48541,C1135976,ICD9CM,41.06,Cord bld stem cell trans
GSE48541,C1135976,ICD9CM,41.06,Cord blood stem cell transplant
GSE48548,C0024301,ICD9CM,202.0,Nodular lymphoma
GSE48552,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE48552,C0002395,MSH,D000544,Alzheimer Disease
GSE48553,C0005961,ICD9CM,41.00,Bone marrow transplant, not otherwise specified
GSE48553,C0005961,ICD9CM,41.00,Bone marrow trnsplnt NOS
GSE48574,C0001125,MSH,D000140,Acidosis, Lactic
GSE48574,C0026848,ICD9CM,359.9,Myopathy NOS
GSE48574,C0026848,ICD9CM,359.9,Myopathy, unspecified
GSE48574,C0026848,MSH,D009135,Muscular Diseases
GSE48581,C0949804,MSH,D027601,Polyomavirus Infections
GSE4860-GPL3778,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE4860-GPL3778,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE4860-GPL3780,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE4860-GPL3780,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE48611,C0013080,ICD9CM,758.0,Down's syndrome
GSE48611,C0013080,MSH,D004314,Down Syndrome
GSE4866,C1384666,ICD9CM,389,Hearing loss
GSE4866,C1384666,ICD9CM,389.9,Hearing loss NOS
GSE4866,C1384666,ICD9CM,389.9,Unspecified hearing loss
GSE4875,C0008354,ICD9CM,001,Cholera
GSE4875,C0008354,ICD9CM,001.0,Cholera d/t vib cholerae
GSE4875,C0008354,ICD9CM,001.0,Cholera due to vibrio cholerae
GSE4875,C0008354,ICD9CM,001.9,Cholera NOS
GSE4875,C0008354,ICD9CM,001.9,Cholera, unspecified
GSE4875,C0008354,MSH,D002771,Cholera
GSE4876,C0008354,ICD9CM,001,Cholera
GSE4876,C0008354,ICD9CM,001.0,Cholera d/t vib cholerae
GSE4876,C0008354,ICD9CM,001.0,Cholera due to vibrio cholerae
GSE4876,C0008354,ICD9CM,001.9,Cholera NOS
GSE4876,C0008354,ICD9CM,001.9,Cholera, unspecified
GSE4876,C0008354,MSH,D002771,Cholera
GSE48762,C0021400,ICD9CM,487,Influenza
GSE48762,C0021400,MSH,D007251,Influenza, Human
GSE48762,C0032269,MSH,D011008,Pneumococcal Infections
GSE4877,C0008354,ICD9CM,001,Cholera
GSE4877,C0008354,ICD9CM,001.0,Cholera d/t vib cholerae
GSE4877,C0008354,ICD9CM,001.0,Cholera due to vibrio cholerae
GSE4877,C0008354,ICD9CM,001.9,Cholera NOS
GSE4877,C0008354,ICD9CM,001.9,Cholera, unspecified
GSE4877,C0008354,MSH,D002771,Cholera
GSE48780,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE48780,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE48780,C0029408,ICD9CM,715.9,Osteoarthrosis, unspecified whether generalized or localized
GSE48780,C0029408,MSH,D010003,Osteoarthritis
GSE48781,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE4879,C0374997,ICD9CM,041.86,Helicobacter pylori
GSE488,C0019101,ICD9CM,078.6,Hem nephrosonephritis
GSE488,C0019101,ICD9CM,078.6,Hemorrhagic nephrosonephritis
GSE488,C0019101,MSH,D006480,Hemorrhagic Fever with Renal Syndrome
GSE48804,C0005411,ICD9CM,751.61,Biliary atresia
GSE48804,C0005411,MSH,D001656,Biliary Atresia
GSE48813,C0014544,ICD9CM,345.9,Epilepsy, unspecified
GSE48813,C0014544,MSH,D004827,Epilepsy
GSE48813,C0242422,MSH,D020734,Parkinsonian Disorders
GSE48822,C0015934,ICD9CM,764.9,Fetal growth retardation, unspecified
GSE48822,C0015934,ICD9CM,764.90,Fet growth retard wtNOS
GSE48822,C0015934,ICD9CM,764.90,Fetal growth retardation, unspecified, unspecified [weight]
GSE4884-GPL3749,C0025362,ICD9CM,317-319.99,INTELLECTUAL DISABILITIES
GSE48846,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE48846,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE48861,C0028754,ICD9CM,278.00,Obesity NOS
GSE48861,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE48861,C0028754,MSH,D009765,Obesity
GSE4888,C0042131,ICD9CM,621.9,Disorder of uterus NOS
GSE4888,C0042131,ICD9CM,621.9,Unspecified disorder of uterus
GSE4888,C0042131,MSH,D014591,Uterine Diseases
GSE48881,C0032080,MSH,D010935,Plant Diseases
GSE48896,C0038160,MSH,D013203,Staphylococcal Infections
GSE48933-GPL11154,C0012634,MSH,D004194,Disease
GSE48933-GPL15520,C0012634,MSH,D004194,Disease
GSE48960-GPL11002,C0020179,ICD9CM,333.4,Huntington's chorea
GSE48960-GPL11002,C0020179,MSH,D006816,Huntington Disease
GSE48960-GPL13112,C0020179,ICD9CM,333.4,Huntington's chorea
GSE48960-GPL13112,C0020179,MSH,D006816,Huntington Disease
GSE48962-GPL11002,C0020179,ICD9CM,333.4,Huntington's chorea
GSE48962-GPL11002,C0020179,MSH,D006816,Huntington Disease
GSE48963-GPL11002,C0020179,ICD9CM,333.4,Huntington's chorea
GSE48963-GPL11002,C0020179,MSH,D006816,Huntington Disease
GSE48963-GPL13112,C0020179,ICD9CM,333.4,Huntington's chorea
GSE48963-GPL13112,C0020179,MSH,D006816,Huntington Disease
GSE48964,C0007222,ICD9CM,429.2,Ascvd
GSE48964,C0007222,ICD9CM,429.2,Cardiovascular disease, unspecified
GSE48964,C0007222,MSH,D002318,Cardiovascular Diseases
GSE48964,C0028756,ICD9CM,278.01,Morbid obesity
GSE48964,C0028756,MSH,D009767,Obesity, Morbid
GSE48970,C0019372,MSH,D006566,Herpesviridae Infections
GSE48970,C0023860,ICD9CM,027.0,Listeriosis
GSE48970,C0023860,MSH,D008088,Listeriosis
GSE48977,C0018800,ICD9CM,429.3,Cardiomegaly
GSE48991,C0027126,MSH,D009223,Myotonic Dystrophy
GSE49015,C0020456,MSH,D006943,Hyperglycemia
GSE49054,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE49067,C0023473,ICD9CM,205.1,Myeloid leukemia, chronic
GSE4911-GPL81,C0008928,MSH,D002973,Cleidocranial Dysplasia
GSE4911-GPL82,C0008928,MSH,D002973,Cleidocranial Dysplasia
GSE4911-GPL83,C0008928,MSH,D002973,Cleidocranial Dysplasia
GSE49116-GPL13112,C0020542,MSH,D006976,Hypertension, Pulmonary
GSE49116-GPL13112,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE49116-GPL13112,C0036330,ICD9CM,120.1,Schistosomiasis due to schistosoma mansoni
GSE49116-GPL13112,C0036330,MSH,D012555,Schistosomiasis mansoni
GSE49116-GPL13112,C0340543,MSH,C536282,Familial primary pulmonary hypertension
GSE49116-GPL6246,C0020542,MSH,D006976,Hypertension, Pulmonary
GSE49116-GPL6246,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE49116-GPL6246,C0036330,ICD9CM,120.1,Schistosomiasis due to schistosoma mansoni
GSE49116-GPL6246,C0036330,MSH,D012555,Schistosomiasis mansoni
GSE49116-GPL6246,C0340543,MSH,C536282,Familial primary pulmonary hypertension
GSE49166,C0026769,ICD9CM,340,Multiple sclerosis
GSE49166,C0026769,MSH,D009103,Multiple Sclerosis
GSE49191,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE49191,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE49195,C0028754,ICD9CM,278.00,Obesity NOS
GSE49195,C0028754,ICD9CM,278.00,Obesity, unspecified
GSE49195,C0028754,MSH,D009765,Obesity
GSE49199,C0003864,MSH,D001168,Arthritis
GSE49199,C0009319,MSH,D003092,Colitis
GSE49215-GPL11157,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE49215-GPL6801,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE4926,C0030286,ICD9CM,577,Diseases of pancreas
GSE4926,C0030286,ICD9CM,577.9,Pancreatic disease NOS
GSE4926,C0030286,ICD9CM,577.9,Unspecified disease of pancreas
GSE4926,C0030286,MSH,D010182,Pancreatic Diseases
GSE4928,C0018051,ICD9CM,758.6,Gonadal dysgenesis
GSE4928,C0018051,MSH,D006059,Gonadal Dysgenesis
GSE4928,C0036875,MSH,D012734,Disorders of Sex Development
GSE493-GPL246,C0011633,ICD9CM,710.3,Dermatomyositis
GSE493-GPL246,C0011633,MSH,D003882,Dermatomyositis
GSE493-GPL246,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE493-GPL80,C0011633,ICD9CM,710.3,Dermatomyositis
GSE493-GPL80,C0011633,MSH,D003882,Dermatomyositis
GSE493-GPL80,C0013264,MSH,D020388,Muscular Dystrophy, Duchenne
GSE4931-GPL1305,C0374997,ICD9CM,041.86,Helicobacter pylori
GSE4931-GPL1835,C0374997,ICD9CM,041.86,Helicobacter pylori
GSE49326,C0004623,MSH,D001424,Bacterial Infections
GSE49343,C0041107,MSH,D014314,Trisomy
GSE49359-GPL17509,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE49359-GPL17511,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE4938,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE4938,C0024312,MSH,D008231,Lymphopenia
GSE49384,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE4940,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE4940,C0024312,MSH,D008231,Lymphopenia
GSE49441,C0023860,ICD9CM,027.0,Listeriosis
GSE49441,C0023860,MSH,D008088,Listeriosis
GSE49443,C0021364,ICD9CM,606,Infertility, male
GSE49443,C0021364,ICD9CM,606.9,Male infertility NOS
GSE49443,C0021364,ICD9CM,606.9,Male infertility, unspecified
GSE49443,C0021364,MSH,D007248,Infertility, Male
GSE4950,C0024312,ICD9CM,288.51,Lymphocytopenia
GSE4950,C0024312,MSH,D008231,Lymphopenia
GSE4953-GPL81,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE4953-GPL81,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE4953-GPL81,C0342257,ICD9CM,250.9,Diabetes with unspecified complication
GSE4953-GPL82,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE4953-GPL82,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE4953-GPL82,C0342257,ICD9CM,250.9,Diabetes with unspecified complication
GSE4953-GPL83,C0011854,MSH,D003922,Diabetes Mellitus, Type 1
GSE4953-GPL83,C0011860,MSH,D003924,Diabetes Mellitus, Type 2
GSE4953-GPL83,C0342257,ICD9CM,250.9,Diabetes with unspecified complication
GSE49557,C0403447,MSH,D051436,Renal Insufficiency, Chronic
GSE49589,C0019196,ICD9CM,070.7,Unspecified viral hepatitis C
GSE49589,C0019196,MSH,D006526,Hepatitis C
GSE49603,C0024117,MSH,D029424,Pulmonary Disease, Chronic Obstructive
GSE49604-GPL10558,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE49604-GPL10558,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE49604-GPL10558,C0029408,ICD9CM,715.9,Osteoarthrosis, unspecified whether generalized or localized
GSE49604-GPL10558,C0029408,MSH,D010003,Osteoarthritis
GSE49604-GPL8432,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE49604-GPL8432,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE49604-GPL8432,C0029408,ICD9CM,715.9,Osteoarthrosis, unspecified whether generalized or localized
GSE49604-GPL8432,C0029408,MSH,D010003,Osteoarthritis
GSE4963,C0018801,ICD9CM,428,Heart failure
GSE4963,C0018801,ICD9CM,428.9,Heart failure NOS
GSE4963,C0018801,ICD9CM,428.9,Heart failure, unspecified
GSE4963,C0018801,MSH,D006333,Heart Failure
GSE4963,C0027051,MSH,D009203,Myocardial Infarction
GSE49642,C0023418,ICD9CM,208,Leukemia of unspecified cell type
GSE49642,C0023418,ICD9CM,208.9,Unspecified leukemia
GSE49653,C0009319,MSH,D003092,Colitis
GSE49655-GPL15103,C0009319,MSH,D003092,Colitis
GSE49655-GPL6246,C0009319,MSH,D003092,Colitis
GSE49663,C0042749,ICD9CM,790.8,Viremia NOS
GSE49663,C0042749,ICD9CM,790.8,Viremia, unspecified
GSE49663,C0042749,MSH,D014766,Viremia
GSE49663,C0080151,MSH,D016097,Simian Acquired Immunodeficiency Syndrome
GSE49668-GPL11002,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE49668-GPL11002,C0036330,ICD9CM,120.1,Schistosomiasis due to schistosoma mansoni
GSE49668-GPL11002,C0036330,MSH,D012555,Schistosomiasis mansoni
GSE49668-GPL13112,C0036330,ICD9CM,120.1,Schistosoma mansoni
GSE49668-GPL13112,C0036330,ICD9CM,120.1,Schistosomiasis due to schistosoma mansoni
GSE49668-GPL13112,C0036330,MSH,D012555,Schistosomiasis mansoni
GSE49787,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE49797,C1257763,MSH,D044343,Overnutrition
GSE49826,C0026846,MSH,D009133,Muscular Atrophy
